symbol,name,ts_code,trade_date,score,reason,patterns_core,patterns_extra,close,open,drawdown_120d,price_pos_year,box_range_60d,vol_shrink_ratio_20_20,ma20_slope_1d,close_pct_1d,pb,pe_ttm,turnover_rate,total_mv_wanyuan,circ_mv_wanyuan,chip_concentration_pct,winner_rate_pct,chip_price_pos_pct,cost_5pct,cost_95pct,weight_avg_cost
002790,瑞尔特,002790.SZ,20260306,69.874,低位横盘筑底、地量地价、短期止跌,低位横盘筑底、地量地价,短期止跌,8.15,7.96,0.3835,0.194,0.2932,0.6701,-0.00124,0.0239,,,,,,,,,,,
002513,蓝丰生化,002513.SZ,20260306,69.723,低位横盘筑底、缩量回踩支撑、右侧转强、短期止跌,低位横盘筑底、缩量回踩支撑,右侧转强、短期止跌,7.43,6.86,0.3505,0.3734,0.2135,0.8062,0.00317,0.0847,,,,,,,,,,,
603322,超讯通信,603322.SH,20260306,69.212,地量地价、短期止跌,地量地价,短期止跌,35.46,34.96,0.409,0.0651,0.6388,0.5076,-0.00186,0.0057,,,,,,,,,,,
688260,昀冢科技,688260.SH,20260306,69.134,低位横盘筑底、短期止跌,低位横盘筑底,短期止跌,30.05,29.8,0.4142,0.1376,0.3874,0.8031,-0.00153,-0.001,,,,,,,,,,,
688115,思林杰,688115.SH,20260306,68.73,地量地价、短期止跌,地量地价,短期止跌,44.89,44.64,0.3876,0.0267,0.6618,0.5555,-0.00056,0.0133,,,,,,,,,,,
688177,百奥泰,688177.SH,20260306,68.492,低位横盘筑底、短期止跌,低位横盘筑底,短期止跌,22.62,21.48,0.3599,0.0998,0.2414,0.6946,-0.00243,0.0521,,,,,,,,,,,
002174,游族网络,002174.SZ,20260306,68.276,低位横盘筑底、短期止跌,低位横盘筑底,短期止跌,10.79,10.28,0.3523,0.112,0.392,0.6306,-0.00579,0.0425,,,,,,,,,,,
000926,福星股份,000926.SZ,20260306,68.13,低位横盘筑底、缩量回踩支撑、短期止跌,低位横盘筑底、缩量回踩支撑,短期止跌,2.25,2.17,0.3553,0.0882,0.2019,0.9816,-0.0022,0.0321,,,,,,,,,,,
688573,信宇人,688573.SH,20260306,67.753,低位横盘筑底、短期止跌,低位横盘筑底,短期止跌,21.72,21.0,0.3719,0.1143,0.2861,0.7534,-0.00237,0.0348,,,,,,,,,,,
000955,欣龙控股,000955.SZ,20260306,67.624,低位横盘筑底、地量地价、短期止跌,低位横盘筑底、地量地价,短期止跌,5.52,5.32,0.3706,0.2131,0.4345,0.6839,-0.00159,0.0299,,,,,,,,,,,
688108,赛诺医疗,688108.SH,20260306,67.141,缩量回踩支撑、短期止跌,缩量回踩支撑,短期止跌,21.76,20.57,0.4497,0.207,0.5339,0.3794,-0.00521,0.0579,,,,,,,,,,,
002456,欧菲光,002456.SZ,20260306,67.057,低位横盘筑底、短期止跌,低位横盘筑底,短期止跌,9.54,9.59,0.3571,0.1181,0.2978,0.7107,-0.00221,-0.0245,,,,,,,,,,,
601138,工业富联,601138.SH,20260306,66.79,低位横盘筑底、地量地价、短期止跌,低位横盘筑底、地量地价,短期止跌,54.33,54.8,0.3523,0.1877,0.31,0.7269,-0.00294,-0.014,,,,,,,,,,,
600503,华丽家族,600503.SH,20260306,66.768,低位横盘筑底、短期止跌,低位横盘筑底,短期止跌,2.59,2.5,0.3509,0.0909,0.2163,0.7859,-0.00151,0.0319,,,,,,,,,,,
688148,芳源股份,688148.SH,20260306,66.571,低位横盘筑底、地量地价、短期止跌,低位横盘筑底、地量地价,短期止跌,8.29,8.18,0.3975,0.3449,0.3296,0.456,-0.00344,0.0122,,,,,,,,,,,
002622,皓宸医疗,002622.SZ,20260306,66.333,低位横盘筑底、短期止跌,低位横盘筑底,短期止跌,2.91,2.85,0.3533,0.1067,0.261,0.7739,-0.00218,0.0246,,,,,,,,,,,
002320,海峡股份,002320.SZ,20260306,65.559,低位横盘筑底、地量地价、短期止跌,低位横盘筑底、地量地价,短期止跌,10.01,9.94,0.3836,0.2618,0.4163,0.7196,-0.00263,0.002,,,,,,,,,,,
000661,长春高新,000661.SZ,20260306,65.308,低位横盘筑底、短期止跌,低位横盘筑底,短期止跌,90.93,89.02,0.3586,0.0673,0.2222,0.9925,-0.00403,0.0192,,,,,,,,,,,
002779,中坚科技,002779.SZ,20260306,65.214,地量地价、短期止跌,地量地价,短期止跌,92.49,92.0,0.3665,0.0576,0.614,0.5695,-0.00239,-0.0037,,,,,,,,,,,
603026,石大胜华,603026.SH,20260306,64.505,低位横盘筑底、地量地价、短期止跌,低位横盘筑底、地量地价,短期止跌,62.8,62.72,0.432,0.3461,0.4128,0.7535,-0.00321,0.004,,,,,,,,,,,
603978,深圳新星,603978.SH,20260306,64.185,低位横盘筑底、地量地价、短期止跌,低位横盘筑底、地量地价,短期止跌,24.16,23.68,0.3933,0.3558,0.3545,0.5483,-0.00438,0.0147,,,,,,,,,,,
000572,海马汽车,000572.SZ,20260306,63.215,地量地价、短期止跌,地量地价,短期止跌,6.54,6.4,0.4564,0.25,0.7136,0.5183,-0.00262,0.0155,,,,,,,,,,,
002596,海南瑞泽,002596.SZ,20260306,61.678,地量地价、短期止跌,地量地价,短期止跌,4.17,4.13,0.4216,0.1936,0.8161,0.624,-0.00309,0.0146,,,,,,,,,,,
603759,海天股份,603759.SH,20260306,60.649,低位横盘筑底、地量地价、短期止跌,低位横盘筑底、地量地价,短期止跌,10.57,10.39,0.3582,0.3371,0.3576,0.6551,-0.00682,0.0163,,,,,,,,,,,
600829,人民同泰,600829.SH,20260306,60.574,地量地价、短期止跌,地量地价,短期止跌,10.57,10.3,0.417,0.2779,0.48,0.3958,-0.00546,0.0203,,,,,,,,,,,
000797,中国武夷,000797.SZ,20260306,58.816,地量地价、短期止跌,地量地价,短期止跌,3.09,3.02,0.3655,0.1982,0.6054,0.5073,-0.0016,0.0164,,,,,,,,,,,
600730,中国高科,600730.SH,20260306,58.098,地量地价、短期止跌,地量地价,短期止跌,9.88,9.69,0.379,0.2583,0.7219,0.4244,-0.00347,0.0196,,,,,,,,,,,
002474,榕基软件,002474.SZ,20260306,57.906,地量地价、短期止跌,地量地价,短期止跌,8.41,8.2,0.3866,0.2914,0.6709,0.3666,-0.00279,0.0194,,,,,,,,,,,
688656,浩欧博,688656.SH,20260306,57.328,地量地价、短期止跌,地量地价,短期止跌,139.1,136.56,0.359,0.1782,0.6308,0.6328,-0.00113,0.0162,,,,,,,,,,,
300086,康芝药业,300086.SZ,20260306,57.246,地量地价、短期止跌,地量地价,短期止跌,9.1,8.8,0.4009,0.308,0.7622,0.4259,-0.00439,0.0236,,,,,,,,,,,
600783,鲁信创投,600783.SH,20260306,57.106,缩量回踩支撑、短期止跌,缩量回踩支撑,短期止跌,22.33,22.0,0.4338,0.3749,1.7775,0.3817,-0.00211,0.0086,,,,,,,,,,,
688670,金迪克,688670.SH,20260306,55.648,地量地价、短期止跌,地量地价,短期止跌,19.15,18.32,0.3862,0.2861,0.7247,0.5232,-0.00686,0.0408,,,,,,,,,,,
300455,航天智装,300455.SZ,20260306,53.937,地量地价、短期止跌,地量地价,短期止跌,25.66,25.6,0.3817,0.3776,0.7113,0.3102,-0.00588,-0.0062,,,,,,,,,,,
603122,合富中国,603122.SH,20260306,53.113,地量地价、短期止跌,地量地价,短期止跌,17.08,16.55,0.4529,0.4367,0.9307,0.5259,-0.00208,0.0264,,,,,,,,,,,
301136,招标股份,301136.SZ,20260306,52.067,地量地价、短期止跌,地量地价,短期止跌,16.89,16.49,0.4176,0.3411,0.8024,0.7251,-0.00155,0.0212,,,,,,,,,,,
002465,海格通信,002465.SZ,20260306,50.2,缩量回踩支撑、短期止跌,缩量回踩支撑,短期止跌,17.07,17.02,0.3588,0.3795,1.2165,0.423,-0.00126,-0.007,,,,,,,,,,,
