symbol,name,market,signal_date,entry_date,exit_date,hold_days,entry_price,exit_price,ret_pct,exit_reason
000035,中国天楹,0,2023-11-02,2023-11-03,2023-11-03,1,5.9,5.9472,0.638768,止盈
000050,深天马Ａ,0,2023-11-22,2023-11-23,2023-11-23,1,10.39,10.47312,0.638768,止盈
000050,深天马Ａ,0,2023-11-24,2023-11-27,2023-11-27,1,10.4,10.4832,0.638768,止盈
000068,华控赛格,0,2023-11-28,2023-11-29,2023-12-06,6,3.75,3.73,-0.692432,时间止盈
000039,中集集团,0,2023-12-14,2023-12-15,2023-12-15,1,7.8,7.8624,0.638768,止盈
000403,派林生物,0,2023-12-19,2023-12-20,2023-12-20,1,28.28,28.50624,0.638768,止盈
000039,中集集团,0,2024-01-19,2024-01-22,2024-01-24,3,8.04,8.10432,0.638768,止盈
000020,深华发Ａ,0,2024-03-05,2024-03-06,2024-03-06,1,14.08,14.19264,0.638768,止盈
000020,深华发Ａ,0,2024-03-07,2024-03-08,2024-03-08,1,13.78,13.89024,0.638768,止盈
000338,潍柴动力,0,2024-03-15,2024-03-18,2024-03-18,1,16.43,16.56144,0.638768,止盈
000012,南 玻Ａ,0,2024-03-19,2024-03-20,2024-03-25,4,5.69,5.4624,-4.153554,止损
000027,深圳能源,0,2024-03-25,2024-03-26,2024-03-26,1,6.76,6.81408,0.638768,止盈
000039,中集集团,0,2024-03-26,2024-03-27,2024-03-27,1,8.98,9.05184,0.638768,止盈
000039,中集集团,0,2024-03-28,2024-03-29,2024-03-29,1,9.16,9.23328,0.638768,止盈
000100,TCL科技,0,2024-03-29,2024-04-01,2024-04-01,1,4.73,4.76784,0.638768,止盈
000404,长虹华意,0,2024-04-02,2024-04-03,2024-04-03,1,7.03,7.08624,0.638768,止盈
000403,派林生物,0,2024-04-09,2024-04-10,2024-04-12,3,28.41,28.63728,0.638768,止盈
000400,许继电气,0,2024-04-10,2024-04-11,2024-04-11,1,24.91,25.10928,0.638768,止盈
000028,国药一致,0,2024-04-11,2024-04-12,2024-04-12,1,30.76,31.00608,0.638768,止盈
000100,TCL科技,0,2024-04-22,2024-04-23,2024-04-23,1,4.92,4.95936,0.638768,止盈
000063,中兴通讯,0,2024-04-23,2024-04-24,2024-04-24,1,27.63,27.85104,0.638768,止盈
000001,平安银行,0,2024-04-24,2024-04-25,2024-04-25,1,10.5,10.584,0.638768,止盈
000063,中兴通讯,0,2024-04-25,2024-04-26,2024-04-26,1,28.35,28.5768,0.638768,止盈
000027,深圳能源,0,2024-05-08,2024-05-09,2024-05-09,1,7.32,7.37856,0.638768,止盈
000063,中兴通讯,0,2024-05-09,2024-05-10,2024-05-13,2,28.1,28.3248,0.638768,止盈
000060,中金岭南,0,2024-05-13,2024-05-14,2024-05-17,4,4.87,4.6752,-4.153554,止损
000157,中联重科,0,2024-05-13,2024-05-14,2024-05-14,1,8.92,8.99136,0.638768,止盈
000404,长虹华意,0,2024-05-15,2024-05-16,2024-05-16,1,7.12,7.17696,0.638768,止盈
000409,云鼎科技,0,2024-05-15,2024-05-16,2024-05-16,1,8.55,8.6184,0.638768,止盈
000089,深圳机场,0,2024-05-16,2024-05-17,2024-05-17,1,7.03,7.08624,0.638768,止盈
