symbol,name,industry,sum_pct,last_pct_chg,avg_amount_yi,days,trade_date,reason,ts_code
300088,长信科技,元器件,3.42,0.88,6.79,3,20260312,20260310-20260312 连续3日小阳线 累计3.42%,300088.SZ
002567,唐人神,饲料,3.41,1.81,1.67,3,20260312,20260310-20260312 连续3日小阳线 累计3.41%,002567.SZ
600717,天津港,港口,3.37,1.25,1.25,3,20260312,20260310-20260312 连续3日小阳线 累计3.37%,600717.SH
600000,浦发银行,银行,3.31,1.09,8.53,3,20260312,20260310-20260312 连续3日小阳线 累计3.31%,600000.SH
601811,新华文轩,出版业,3.31,0.94,0.41,3,20260312,20260310-20260312 连续3日小阳线 累计3.31%,601811.SH
688267,中触媒,化工原料,3.19,2.07,1.15,3,20260312,20260310-20260312 连续3日小阳线 累计3.19%,688267.SH
600104,上汽集团,汽车整车,3.19,0.77,7.65,3,20260312,20260310-20260312 连续3日小阳线 累计3.19%,600104.SH
603737,三棵树,染料涂料,3.18,1.03,2.23,3,20260312,20260310-20260312 连续3日小阳线 累计3.18%,603737.SH
002034,旺能环境,环境保护,3.17,1.38,1.13,3,20260312,20260310-20260312 连续3日小阳线 累计3.17%,002034.SZ
002818,富森美,其他商业,3.17,0.76,0.41,3,20260312,20260310-20260312 连续3日小阳线 累计3.17%,002818.SZ
002088,鲁阳节能,矿物制品,3.08,1.35,0.45,3,20260312,20260310-20260312 连续3日小阳线 累计3.08%,002088.SZ
300174,元力股份,化工原料,3.08,0.64,1.33,3,20260312,20260310-20260312 连续3日小阳线 累计3.08%,300174.SZ
603477,巨星农牧,农业综合,3.08,0.36,3.76,3,20260312,20260310-20260312 连续3日小阳线 累计3.08%,603477.SH
