symbol,name,industry,trade_date,decline_pct,decline_detail,vol_pct_avg,vol_ratio,last_close,last_pct_chg,turnover_rate,circ_mv_yi,avg_amount_yi,weekly_detail,index_bullish,reason,ts_code
688228,开普云,软件服务,20260413,-14.64,30日跌-14.6%,7.5,,107.97,0.55,2.23,72.93,1.63,,0,30日跌-14.6% 连续2日地量(<15.0%分位) 放量 阳线确认,688228.SH
300721,怡达股份,化工原料,20260413,-14.51,30日跌-14.5%,2.5,,14.26,0.07,2.65,19.73,0.52,,0,30日跌-14.5% 连续2日地量(<15.0%分位) 放量 阳线确认,300721.SZ
300659,中孚信息,IT设备,20260413,-14.41,30日跌-14.4%,5.0,,13.01,0.31,2.31,24.62,0.57,,0,30日跌-14.4% 连续2日地量(<15.0%分位) 放量 阳线确认,300659.SZ
002935,天奥电子,航空,20260413,-14.38,30日跌-14.4%,10.83,,18.51,0.43,1.01,76.83,0.78,,0,30日跌-14.4% 连续2日地量(<15.0%分位) 放量 阳线确认,002935.SZ
000523,红棉股份,食品,20260413,-14.36,30日跌-14.4%,9.17,,3.28,1.23,1.59,43.47,0.69,,0,30日跌-14.4% 连续2日地量(<15.0%分位) 放量 阳线确认,000523.SZ
600271,航天信息,软件服务,20260413,-14.23,30日跌-14.2%,4.17,,8.5,0.83,0.64,157.5,1.01,,0,30日跌-14.2% 连续2日地量(<15.0%分位) 放量 阳线确认,600271.SH
600819,耀皮玻璃,玻璃,20260413,-14.23,30日跌-14.2%,5.83,,7.11,1.14,0.71,53.14,0.37,,0,30日跌-14.2% 连续2日地量(<15.0%分位) 放量 阳线确认,600819.SH
002312,川发龙蟒,化工原料,20260413,-14.17,30日跌-14.2%,10.0,,11.57,0.87,1.57,217.96,3.41,,0,30日跌-14.2% 连续2日地量(<15.0%分位) 放量 阳线确认,002312.SZ
605183,确成股份,化工原料,20260413,-14.15,30日跌-14.2%,5.0,,19.23,0.47,0.36,79.31,0.28,,0,30日跌-14.2% 连续2日地量(<15.0%分位) 放量 阳线确认,605183.SH
000410,沈阳机床,机床制造,20260413,-14.07,30日跌-14.1%,5.0,,6.72,0.9,0.64,112.96,0.72,,0,30日跌-14.1% 连续2日地量(<15.0%分位) 放量 阳线确认,000410.SZ
605599,菜百股份,服饰,20260413,-13.97,30日跌-14.0%,8.33,,22.72,0.62,0.41,176.71,0.72,,0,30日跌-14.0% 连续2日地量(<15.0%分位) 放量 阳线确认,605599.SH
600117,西宁特钢,特种钢,20260413,-13.95,30日跌-14.0%,3.33,,2.59,0.39,0.29,84.31,0.25,,0,30日跌-14.0% 连续2日地量(<15.0%分位) 放量 阳线确认,600117.SH
601121,宝地矿业,普钢,20260413,-13.92,30日跌-13.9%,2.5,,7.67,0.13,0.96,61.36,0.59,,0,30日跌-13.9% 连续2日地量(<15.0%分位) 放量 阳线确认,601121.SH
000723,美锦能源,焦炭加工,20260413,-13.8,30日跌-13.8%,5.83,,4.56,0.89,1.33,200.41,2.66,,0,30日跌-13.8% 连续2日地量(<15.0%分位) 放量 阳线确认,000723.SZ
600100,同方股份,IT设备,20260413,-13.8,30日跌-13.8%,12.5,,8.06,0.25,1.02,270.03,2.77,,0,30日跌-13.8% 连续2日地量(<15.0%分位) 放量 阳线确认,600100.SH
920167,同享科技,小金属,20260413,-13.8,30日跌-13.8%,7.5,,16.93,0.3,1.96,11.07,0.22,,0,30日跌-13.8% 连续2日地量(<15.0%分位) 放量 阳线确认,920167.BJ
002146,荣盛发展,全国地产,20260413,-13.66,30日跌-13.7%,5.83,,1.39,0.72,2.0,54.37,1.09,,0,30日跌-13.7% 连续2日地量(<15.0%分位) 放量 阳线确认,002146.SZ
