market,code,name,signal_mode,rim_left_date,rim_left_price,rim_right_date,rim_right_price,bottom_date,bottom_low,cup_days,cup_depth,rim_diff,handle_days,handle_pullback,handle_high,breakout_date,breakout_close,dist_to_breakout,breakout_vol_ratio,bottom_vol_ratio,left_neg_ratio,right_pos_ratio,score,reason
1,688737,中自科技,setup,20251113,27.65,20260302,28.6,20251217,20.93,69,0.272632493483927,0.03321678321678331,6,0.10902896081771729,28.96,20260310,28.66,0.01046755059316129,0.5869698983484704,0.42025613649845484,0.625,0.5777777777777777,60.1940255984654,杯底+杯柄临近突破
0,300610,晨化股份,setup,20250819,13.08,20260302,12.61,20251020,10.83,125,0.17011494252873569,0.03593272171253827,6,0.08030888030888025,12.78,20260310,12.66,0.009478672985781866,0.36914067165280096,0.576482716222654,0.5789473684210527,0.5287356321839081,60.16593528382627,杯底+杯柄临近突破
1,688171,纬德信息,setup,20250912,57.8,20260302,57.38,20251121,41.0,107,0.3097062042259449,0.007266435986159076,6,0.14834983498349838,58.27,20260310,57.78,0.008480443059882381,1.396907498133207,0.4666779815034044,0.6590909090909091,0.5079365079365079,59.739078166480304,杯底+杯柄临近突破
0,300206,理邦仪器,setup,20251105,14.21,20260129,14.69,20251218,12.3,59,0.16723087339201076,0.03267528931245736,22,0.08410596026490064,15.08,20260310,14.93,0.010046885465505806,0.7413989200169415,0.4495108535919721,0.6129032258064516,0.5,59.66416644022304,杯底+杯柄临近突破
0,300187,永清环保,setup,20241206,5.85,20260304,5.66,20250407,4.19,297,0.281303602058319,0.0324786324786324,4,0.044905008635578544,5.78,20260310,5.71,0.012259194395796813,0.45512959102460315,0.7102692559099838,0.48717948717948717,0.4885844748858447,59.47761431945845,杯底+杯柄临近突破
1,600479,千金药业,setup,20241128,11.99,20260227,11.36,20250409,9.4,300,0.2127303182579565,0.05254378648874068,7,0.05429071803852883,11.35,20260310,11.26,0.00799289520426294,0.4528832190261379,0.3075659897951259,0.4883720930232558,0.5327102803738317,59.47599649268494,杯底+杯柄临近突破
1,600568,ST中珠,setup,20251204,2.96,20260302,2.86,20251229,2.42,54,0.17826825127334475,0.03378378378378381,6,0.07849829351535835,3.17,20260310,3.17,0.0,0.9846140909777151,0.4052617540971407,0.5882352941176471,0.5135135135135135,59.461872181038196,杯底+杯柄临近突破
0,300625,三雄极光,setup,20241206,13.39,20260227,12.99,20250407,9.6,294,0.28994082840236685,0.02987303958177747,7,0.08798775822494265,12.99,20260310,12.87,0.009324009324009452,0.42123620382301813,0.4088573358965423,0.48717948717948717,0.5277777777777778,59.25583532618512,杯底+杯柄临近突破
0,002576,通达动力,setup,20250820,21.04,20260227,19.99,20251217,15.86,123,0.23455598455598453,0.049904942965779506,7,0.11274509803921555,19.65,20260310,19.36,0.014979338842975087,0.5064439623942603,0.14878901037476858,0.5822784810126582,0.6136363636363636,59.253625673208084,杯底+杯柄临近突破
1,603091,众鑫股份,setup,20251224,85.4,20260302,82.06,20260202,73.49,40,0.1592976033861465,0.039110070257611276,6,0.12030755314337405,84.01,20260310,83.63,0.004543823986607798,0.3964681910799185,0.5874117978285989,0.6538461538461539,0.8571428571428571,58.99588192518186,杯底+杯柄临近突破
1,600099,林海股份,setup,20250808,11.91,20260224,11.48,20251217,9.66,128,0.17926932880203905,0.03610411418975648,10,0.0791993037423847,11.52,20260310,11.5,0.0017391304347824654,0.5437457314171076,0.8652094872926114,0.5402298850574713,0.5853658536585366,58.943976549284244,杯底+杯柄临近突破
0,301170,锡南科技,setup,20250820,30.4,20260227,31.54,20251013,26.11,123,0.16448000000000002,0.03614457831325303,7,0.09148264984227125,31.28,20260310,30.88,0.012953367875647714,0.7684505096865625,0.5147428256758967,0.65625,0.5604395604395604,58.77847863059101,杯底+杯柄临近突破
0,002012,凯恩股份,setup,20250808,6.6,20260304,7.02,20251013,5.27,134,0.2400865176640232,0.059829059829059825,4,0.022284122562674116,7.41,20260310,7.3,0.015068493150685036,0.3729687745795763,0.28190136632615137,0.55,0.5106382978723404,58.77435962506482,杯底+杯柄临近突破
0,002337,赛象科技,setup,20251028,7.46,20260227,7.1,20251217,5.76,80,0.22891566265060243,0.04825737265415554,7,0.09859154929577456,7.04,20260310,7.01,0.004279600570613384,0.5751961320861233,0.2071789251281706,0.5,0.5681818181818182,58.73177680054948,杯底+杯柄临近突破
0,300873,海晨股份,setup,20250812,26.98,20260303,25.47,20251217,20.96,131,0.22499537807358108,0.05596738324684958,5,0.07129525942515864,26.41,20260310,26.28,0.004946727549467234,0.7541793629385417,0.1904599223823995,0.5176470588235295,0.6521739130434783,58.66810676160064,杯底+杯柄临近突破
1,605099,共创草坪,setup,20250612,45.0,20260305,43.93,20251013,29.4,176,0.35730680948737575,0.023777777777777783,3,0.07051142546245924,44.8,20260310,44.6,0.004484304932735439,0.5520898697294435,0.16057181031038564,0.5432098765432098,0.5894736842105263,58.58254034875937,杯底+杯柄临近突破
0,002441,众业达,setup,20251107,10.39,20260302,10.91,20251217,8.65,73,0.20459770114942524,0.04766269477543534,6,0.07371225577264655,11.41,20260310,11.27,0.012422360248447228,0.4336295573150335,0.8586162284619322,0.5714285714285714,0.5555555555555556,58.13365680956851,杯底+杯柄临近突破
1,688057,金达莱,setup,20250826,13.9,20260226,13.45,20251217,11.44,118,0.16800000000000004,0.03237410071942454,8,0.08611729769858946,13.66,20260310,13.49,0.012601927353595332,1.3335829381257454,0.5707397169328531,0.5733333333333334,0.627906976744186,58.08163143259933,杯底+杯柄临近突破
1,600784,鲁银投资,setup,20250813,6.97,20260123,7.26,20250923,6.06,109,0.16298342541436472,0.039944903581267226,26,0.05457025920873129,7.5,20260310,7.47,0.004016064257028162,0.7271460201878308,0.5592691191065343,0.5862068965517241,0.525,58.00405177168349,杯底+杯柄临近突破
0,002631,德尔未来,setup,20251226,6.4,20260227,6.2,20260127,5.46,37,0.1521739130434782,0.03125000000000003,7,0.08,7.0,20260310,6.94,0.008645533141210304,1.3657492038275412,0.4230208047711547,0.65,0.5294117647058824,57.830127566804194,杯底+杯柄临近突破
0,002887,绿茵生态,setup,20251024,10.07,20260210,10.73,20251217,8.72,75,0.16634799235181644,0.06150978564771669,14,0.016666666666666805,11.96,20260310,11.86,0.008431703204047292,0.22623610609917458,0.3906029594523854,0.5526315789473685,0.6216216216216216,57.284970177211534,杯底+杯柄临近突破
0,002159,三特索道,setup,20241216,18.99,20260305,18.71,20250409,13.13,292,0.33468457055991885,0.014744602422327415,3,0.08558558558558563,19.75,20260310,19.63,0.006113092205807469,0.42462654511495895,1.0801650195747527,0.43243243243243246,0.5275229357798165,56.86889935789161,杯底+杯柄临近突破
1,603507,振江股份,setup,20250826,29.85,20260210,31.18,20251121,22.27,112,0.29121578612348825,0.04265554842847974,14,0.049828713796325065,34.6,20260310,34.15,0.013177159590044063,0.7320223927547145,0.4205389174682931,0.5789473684210527,0.5272727272727272,56.64701052047183,杯底+杯柄临近突破
1,603182,嘉华股份,setup,20251114,16.55,20260227,16.3,20251215,15.12,67,0.08970499698976522,0.015105740181268881,7,0.1162227602905569,16.28,20260310,16.16,0.007425742574257432,0.4488909127569387,0.5742175144972962,0.5238095238095238,0.5,56.40493324932966,杯底+杯柄临近突破
0,002224,三 力 士,setup,20241212,5.02,20260227,4.8,20250409,3.76,290,0.24422110552763818,0.04382470119521908,7,0.0708333333333333,4.83,20260310,4.79,0.008350730688935215,0.3510045321896475,1.0709176371405844,0.4605263157894737,0.514018691588785,56.37648477036948,杯底+杯柄临近突破
