symbol,name,industry,sum_pct,drop_pct,desc_ratio,low_pos_ratio,last_pct_chg,last_close,min_low,near_bottom,vol_ratio,avg_amount_yi,consec_days,window_days,trade_date,reason,ts_code
605198,安德利,软饮料,-3.92,-10.8,0.53,1.0,-0.42,38.16,37.88,1,0.49,0.41,5,20,20260312,20260205-20260312 连续5日小阴线 左侧碗壁 drop-10.8% 触底=1,605198.SH
600882,妙可蓝多,乳制品,0.81,-10.62,0.74,0.74,-0.91,20.71,20.48,1,0.68,0.8,5,20,20260312,20260205-20260312 连续5日小阴线 左侧碗壁 drop-10.62% 触底=1,600882.SH
300467,迅游科技,互联网,0.52,-10.58,0.68,0.68,-0.36,30.1,29.8,1,0.72,1.19,5,20,20260312,20260205-20260312 连续5日小阴线 左侧碗壁 drop-10.58% 触底=1,300467.SZ
301088,戎美股份,服饰,0.13,-10.36,0.63,0.68,-0.85,15.15,15.02,1,0.64,0.23,5,20,20260312,20260205-20260312 连续5日小阴线 左侧碗壁 drop-10.36% 触底=1,301088.SZ
003000,劲仔食品,食品,-0.54,-9.97,0.68,0.68,-0.75,10.56,10.46,1,0.58,0.28,5,20,20260312,20260205-20260312 连续5日小阴线 左侧碗壁 drop-9.97% 触底=1,003000.SZ
603808,歌力思,服饰,-3.09,-9.84,0.68,0.68,-0.51,9.71,9.52,1,0.55,0.48,5,20,20260312,20260205-20260312 连续5日小阴线 左侧碗壁 drop-9.84% 触底=1,603808.SH
002605,姚记科技,互联网,-1.52,-9.84,0.63,0.84,-0.94,23.08,22.64,1,0.48,1.43,5,20,20260312,20260205-20260312 连续5日小阴线 左侧碗壁 drop-9.84% 触底=1,002605.SZ
600976,健民集团,中成药,1.36,-9.32,0.74,0.68,-0.85,31.54,31.03,1,0.55,0.32,5,20,20260312,20260205-20260312 连续5日小阴线 左侧碗壁 drop-9.32% 触底=1,600976.SH
001238,浙江正特,家居用品,-4.08,-9.09,0.63,0.84,-0.72,49.9,49.71,1,0.56,0.17,5,20,20260312,20260205-20260312 连续5日小阴线 左侧碗壁 drop-9.09% 触底=1,001238.SZ
002284,亚太股份,汽车配件,-2.56,-9.06,0.47,1.0,-0.98,15.15,15.03,1,0.76,2.3,5,20,20260312,20260205-20260312 连续5日小阴线 左侧碗壁 drop-9.06% 触底=1,002284.SZ
600278,东方创业,商贸代理,-0.47,-8.76,0.68,0.68,-0.88,7.92,7.82,1,0.56,0.46,5,20,20260312,20260205-20260312 连续5日小阴线 左侧碗壁 drop-8.76% 触底=1,600278.SH
300529,健帆生物,医疗保健,0.35,-8.76,0.58,0.84,-0.16,18.85,18.52,1,0.71,0.68,5,20,20260312,20260205-20260312 连续5日小阴线 左侧碗壁 drop-8.76% 触底=1,300529.SZ
603194,中力股份,工程机械,0.33,-8.42,0.58,0.68,-0.94,35.77,35.1,1,0.74,0.45,5,20,20260312,20260205-20260312 连续5日小阴线 左侧碗壁 drop-8.42% 触底=1,603194.SH
300869,康泰医学,医疗保健,0.14,-8.25,0.58,0.68,-0.97,14.24,13.99,1,0.81,0.48,5,20,20260312,20260205-20260312 连续5日小阴线 左侧碗壁 drop-8.25% 触底=1,300869.SZ
600436,片仔癀,中成药,-0.37,-8.24,0.68,0.68,-0.79,156.4,155.98,1,0.64,2.21,5,20,20260312,20260205-20260312 连续5日小阴线 左侧碗壁 drop-8.24% 触底=1,600436.SH
002223,鱼跃医疗,医疗保健,0.03,-8.2,0.68,0.68,-0.55,36.27,36.03,1,0.75,2.76,5,20,20260312,20260205-20260312 连续5日小阴线 左侧碗壁 drop-8.2% 触底=1,002223.SZ
603535,嘉诚国际,仓储物流,-0.51,-8.11,0.53,0.84,-0.76,9.18,9.03,1,0.73,0.25,5,20,20260312,20260205-20260312 连续5日小阴线 左侧碗壁 drop-8.11% 触底=1,603535.SH
600095,湘财股份,证券,0.92,-7.96,0.68,0.79,-0.39,10.18,10.02,1,0.73,2.1,5,20,20260312,20260205-20260312 连续5日小阴线 左侧碗壁 drop-7.96% 触底=1,600095.SH
920768,拾比佰,家用电器,-3.59,-7.66,0.68,0.84,-0.81,12.18,12.12,1,0.63,0.16,5,20,20260312,20260205-20260312 连续5日小阴线 左侧碗壁 drop-7.66% 触底=1,920768.BJ
000886,海南高速,区域地产,-0.27,-7.49,0.58,0.68,-0.48,6.18,6.09,1,0.45,0.83,5,20,20260312,20260205-20260312 连续5日小阴线 左侧碗壁 drop-7.49% 触底=1,000886.SZ
920478,峆一药业,化学制药,-1.68,-6.57,0.68,0.68,-0.84,17.64,17.47,1,0.68,0.11,5,20,20260312,20260205-20260312 连续5日小阴线 左侧碗壁 drop-6.57% 触底=1,920478.BJ
920106,林泰新材,汽车配件,-0.83,-6.03,0.53,0.68,-0.97,70.14,69.75,1,0.58,0.34,5,20,20260312,20260205-20260312 连续5日小阴线 左侧碗壁 drop-6.03% 触底=1,920106.BJ
002721,金一文化,服饰,-0.9,-5.92,0.53,0.68,0.32,3.18,3.13,1,0.62,1.17,5,20,20260312,20260205-20260312 连续5日小阴线 左侧碗壁 drop-5.92% 触底=1,002721.SZ
600715,文投控股,影视音像,-1.81,-5.31,0.58,0.68,-0.93,2.14,2.13,1,0.33,0.61,5,20,20260312,20260205-20260312 连续5日小阴线 左侧碗壁 drop-5.31% 触底=1,600715.SH
603178,圣龙股份,汽车配件,-0.01,-5.22,0.58,0.84,-0.84,16.52,16.25,1,0.85,0.26,5,20,20260312,20260205-20260312 连续5日小阴线 左侧碗壁 drop-5.22% 触底=1,603178.SH
920679,前进科技,机械基件,-2.08,-4.95,0.53,0.89,-0.25,19.77,19.66,1,0.85,0.09,5,20,20260312,20260205-20260312 连续5日小阴线 左侧碗壁 drop-4.95% 触底=1,920679.BJ
600611,大众交通,公共交通,-0.72,-4.72,0.58,0.68,-0.37,5.45,5.4,1,0.69,0.67,5,20,20260312,20260205-20260312 连续5日小阴线 左侧碗壁 drop-4.72% 触底=1,600611.SH
603205,健尔康,医疗保健,1.14,-4.17,0.53,0.68,-0.22,27.1,26.65,1,0.75,0.13,5,20,20260312,20260205-20260312 连续5日小阴线 左侧碗壁 drop-4.17% 触底=1,603205.SH
302132,中航成飞,航空,-3.38,-4.07,0.63,0.84,-0.17,74.28,73.99,1,0.53,5.4,5,20,20260312,20260205-20260312 连续5日小阴线 左侧碗壁 drop-4.07% 触底=1,302132.SZ
920266,生物谷,中成药,-0.21,-3.93,0.68,0.84,-0.56,8.8,8.74,1,0.22,0.08,5,20,20260312,20260205-20260312 连续5日小阴线 左侧碗壁 drop-3.93% 触底=1,920266.BJ
603233,大参林,医药商业,-2.39,-3.52,0.58,0.95,-0.67,19.2,19.02,1,0.73,0.85,5,20,20260312,20260205-20260312 连续5日小阴线 左侧碗壁 drop-3.52% 触底=1,603233.SH
600872,中炬高新,食品,1.05,-3.24,0.63,0.74,-0.92,18.23,17.95,1,0.63,2.01,5,20,20260312,20260205-20260312 连续5日小阴线 左侧碗壁 drop-3.24% 触底=1,600872.SH
300986,志特新材,建筑工程,-7.27,-33.67,0.68,1.0,-4.1,25.94,25.78,0,0.5,4.92,5,20,20260312,20260205-20260312 连续5日小阴线 左侧碗壁 drop-33.67% 触底=0,300986.SZ
600986,浙文互联,互联网,-3.84,-30.93,0.68,0.84,-1.74,10.72,10.58,0,0.31,10.44,5,20,20260312,20260205-20260312 连续5日小阴线 左侧碗壁 drop-30.93% 触底=0,600986.SH
002943,宇晶股份,机床制造,-8.38,-28.07,0.79,1.0,-2.8,55.16,53.99,0,0.69,5.14,5,20,20260312,20260205-20260312 连续5日小阴线 左侧碗壁 drop-28.07% 触底=0,002943.SZ
600693,东百集团,百货,-4.67,-27.36,0.68,0.68,-1.73,12.48,12.3,0,0.38,2.73,5,20,20260312,20260205-20260312 连续5日小阴线 左侧碗壁 drop-27.36% 触底=0,600693.SH
002342,巨力索具,机械基件,-4.74,-27.17,0.68,0.84,-2.69,13.75,13.66,0,0.29,9.61,5,20,20260312,20260205-20260312 连续5日小阴线 左侧碗壁 drop-27.17% 触底=0,002342.SZ
600053,九鼎投资,多元金融,-2.02,-26.4,0.74,0.84,-1.89,17.09,16.95,0,0.48,0.62,5,20,20260312,20260205-20260312 连续5日小阴线 左侧碗壁 drop-26.4% 触底=0,600053.SH
001330,博纳影业,影视音像,-6.56,-26.29,0.68,1.0,-2.37,7.43,7.37,0,0.48,6.23,5,20,20260312,20260205-20260312 连续5日小阴线 左侧碗壁 drop-26.29% 触底=0,001330.SZ
601116,三江购物,超市连锁,-2.92,-25.94,0.68,0.68,-1.25,14.96,14.54,0,0.33,1.84,5,20,20260312,20260205-20260312 连续5日小阴线 左侧碗壁 drop-25.94% 触底=0,601116.SH
001215,千味央厨,食品,-8.41,-25.36,0.68,1.0,-2.09,35.62,35.4,0,0.69,0.75,5,20,20260312,20260205-20260312 连续5日小阴线 左侧碗壁 drop-25.36% 触底=0,001215.SZ
600302,标准股份,纺织机械,-16.65,-25.04,0.74,1.0,-4.17,10.33,10.26,0,1.44,1.71,5,20,20260312,20260205-20260312 连续5日小阴线 左侧碗壁 drop-25.04% 触底=0,600302.SH
002291,遥望科技,广告包装,-2.0,-24.12,0.63,0.68,-1.58,6.86,6.73,0,0.33,2.09,5,20,20260312,20260205-20260312 连续5日小阴线 左侧碗壁 drop-24.12% 触底=0,002291.SZ
603103,横店影视,影视音像,-1.82,-23.94,0.58,0.84,-1.39,24.08,23.79,0,0.34,2.02,5,20,20260312,20260205-20260312 连续5日小阴线 左侧碗壁 drop-23.94% 触底=0,603103.SH
002718,友邦吊顶,其他建材,-7.25,-23.7,0.74,1.0,-1.08,60.2,59.5,0,0.54,1.12,5,20,20260312,20260205-20260312 连续5日小阴线 左侧碗壁 drop-23.7% 触底=0,002718.SZ
603059,倍加洁,日用化工,-0.25,-23.47,0.79,0.84,-1.19,32.51,31.75,0,0.47,0.41,5,20,20260312,20260205-20260312 连续5日小阴线 左侧碗壁 drop-23.47% 触底=0,603059.SH
002702,海欣食品,食品,-3.09,-23.02,0.63,1.0,-2.47,5.92,5.91,0,0.36,1.11,5,20,20260312,20260205-20260312 连续5日小阴线 左侧碗壁 drop-23.02% 触底=0,002702.SZ
920368,连城数控,专用机械,-3.72,-22.99,0.63,0.84,-2.47,42.28,40.03,0,0.53,5.29,5,20,20260312,20260205-20260312 连续5日小阴线 左侧碗壁 drop-22.99% 触底=0,920368.BJ
002855,捷荣技术,元器件,-5.45,-22.87,0.58,1.0,-1.34,12.48,12.48,0,1.14,0.7,5,20,20260312,20260205-20260312 连续5日小阴线 左侧碗壁 drop-22.87% 触底=0,002855.SZ
601579,会稽山,红黄酒,-1.44,-22.4,0.79,0.68,-1.49,17.15,17.03,0,0.54,0.87,5,20,20260312,20260205-20260312 连续5日小阴线 左侧碗壁 drop-22.4% 触底=0,601579.SH
600865,百大集团,百货,-1.83,-22.19,0.63,0.68,-1.87,12.06,12.0,0,0.37,0.77,5,20,20260312,20260205-20260312 连续5日小阴线 左侧碗壁 drop-22.19% 触底=0,600865.SH
603926,铁流股份,汽车配件,-2.67,-22.16,0.79,0.84,-2.03,20.23,19.81,0,0.62,0.89,5,20,20260312,20260205-20260312 连续5日小阴线 左侧碗壁 drop-22.16% 触底=0,603926.SH
688680,海优新材,塑料,-1.52,-22.1,0.68,0.84,-1.79,51.07,49.41,0,0.73,1.66,5,20,20260312,20260205-20260312 连续5日小阴线 左侧碗壁 drop-22.1% 触底=0,688680.SH
603992,松霖科技,家居用品,3.72,-22.08,0.68,0.84,10.02,32.18,28.33,0,2.04,2.01,5,20,20260312,20260205-20260312 连续5日小阴线 左侧碗壁 drop-22.08% 触底=0,603992.SH
300436,广生堂,化学制药,-5.64,-21.96,0.74,1.0,-2.0,102.25,100.73,0,0.41,5.31,5,20,20260312,20260205-20260312 连续5日小阴线 左侧碗壁 drop-21.96% 触底=0,300436.SZ
688777,中控技术,专用机械,-6.2,-21.89,0.68,0.68,-1.25,70.99,69.66,0,0.58,10.9,5,20,20260312,20260205-20260312 连续5日小阴线 左侧碗壁 drop-21.89% 触底=0,688777.SH
605188,国光连锁,超市连锁,-1.77,-21.73,0.68,0.68,-1.27,17.04,16.58,0,0.41,0.56,5,20,20260312,20260205-20260312 连续5日小阴线 左侧碗壁 drop-21.73% 触底=0,605188.SH
