代码,名称,最新价,涨跌幅,今日主力净流入-净额,今日主力净流入-净占比,今日小单净流入-净占比,筛选维度,入选理由
002137,实益达,8.68,0.3468,10103799.999999998,7.617399863832512,-3.559003497416232,B:低位起爆,"涨幅0.3468%, 主力流入1010万, 昨日流出-773万"
688176,亚虹医药-U,11.57,4.6112,13880199.999999994,7.567086750051379,-6.563426377229333,A:机构锁仓,"中盘锁仓(市值50.4亿): 主力7.567086750051379%, 小单-6.563426377229333%"
000978,桂林旅游,7.07,1.4347,10316500.0,7.540428563416758,-14.299807161935817,A:机构锁仓,"小盘锁仓(市值33.1亿): 主力7.540428563416758%, 小单-14.299807161935817%"
002339,积成电子,9.34,2.5247,34370500.0,7.520709976903113,-11.748810435514457,"A:机构锁仓,B:低位起爆","涨幅2.5247%, 主力流入3437万, 昨日流出-5742万 | 小盘锁仓(市值44.7亿): 主力7.520709976903113%, 小单-11.748810435514457%"
300373,扬杰科技,67.84,2.9439,93714800.00000009,7.4975617331581725,-4.029659017445026,"A:机构锁仓,B:低位起爆","涨幅2.9439%, 主力流入9371万, 昨日流出-2767万 | 中盘锁仓(市值367.8亿): 主力7.4975617331581725%, 小单-4.029659017445026%"
301323,新莱福,56.3,0.8961,7423999.999999999,7.46936879668368,-6.179031312612176,A:机构锁仓,"小盘锁仓(市值38.1亿): 主力7.46936879668368%, 小单-6.179031312612176%"
002136,安纳达,12.8,-4.2633,41019300.0,7.434113348363523,-8.36611189280381,"A:机构锁仓,B:低位起爆","涨幅-4.2633%, 主力流入4102万, 昨日流出-1715万 | 小盘锁仓(市值27.5亿): 主力7.434113348363523%, 小单-8.36611189280381%"
300696,爱乐达,29.2,4.1369,43297999.999999985,7.3592839780081425,-6.061831572674753,A:机构锁仓,"中盘锁仓(市值77.6亿): 主力7.3592839780081425%, 小单-6.061831572674753%"
002188,中天服务,6.58,4.1139,24698000.0,7.281837098116036,-5.754119586268999,A:机构锁仓,"小盘锁仓(市值16.9亿): 主力7.281837098116036%, 小单-5.754119586268999%"
302132,中航成飞,79.93,2.5269,101404999.99999993,7.270045916880169,-4.215336154728187,"A:机构锁仓,B:低位起爆","涨幅2.5269%, 主力流入10140万, 昨日流出-1967万 | 中盘锁仓(市值468.4亿): 主力7.270045916880169%, 小单-4.215336154728187%"
300887,谱尼测试,9.32,0.6479,27615499.999999993,7.227047137878792,-5.457335893813766,A:机构锁仓,"小盘锁仓(市值33.8亿): 主力7.227047137878792%, 小单-5.457335893813766%"
600506,统一股份,26.47,10.0166,86325600.00000001,7.180489604209315,-8.719578278873218,A:机构锁仓,"中盘锁仓(市值50.8亿): 主力7.180489604209315%, 小单-8.719578278873218%"
600336,澳柯玛,8.71,-2.8986,17672200.0,7.138967527598955,-7.956756250161587,A:机构锁仓,"中盘锁仓(市值69.5亿): 主力7.138967527598955%, 小单-7.956756250161587%"
300421,力星股份,32.51,9.6829,133050799.99999994,7.1190712218352905,-4.537531201322422,A:机构锁仓,"中盘锁仓(市值74.9亿): 主力7.1190712218352905%, 小单-4.537531201322422%"
300531,优博讯,18.06,2.0916,11800200.0,7.10487346440848,-14.305480465607944,A:机构锁仓,"中盘锁仓(市值55.8亿): 主力7.10487346440848%, 小单-14.305480465607944%"
